"species","b","lower","upper","R2","t","p","growth_final"
"Acantopsis_ioa",2.95246038778278,2.87050729066713,3.03441348489843,0.89,-1.13916592292149,0.255073892035027,"Isometric"
"Amblyrhynchichthys_micracanthus",3.03629231000072,2.99750706284131,3.07507755716014,0.936,1.8353671521174,0.0666357875361669,"Isometric"
"Clupeoides_borneensis",4.10741308823412,4.03261233845454,4.18221383801371,0.758,29.0264447149059,4.47019276445352e-167,"Positive allometric"
"Coilia_lindmani",3.18854958975285,3.06591101985903,3.31118815964666,0.927,3.03096486211788,0.00274726814341855,"Positive allometric"
"Corica_laciniata",3.62505630448759,3.30628195644274,3.94383065253245,0.479,3.8517204013069,0.000131311198503213,"Positive allometric"
"Crossocheilus_reticulatus",3.17396952130441,3.09274687174766,3.25519217086116,0.926,4.20880846477822,3.07417141721365e-05,"Positive allometric"
"Cyclocheilos_enoplos",3.05877690607409,3.01840857719046,3.09914523495773,0.955,2.85706264342927,0.00436100396444046,"Positive allometric"
"Cynoglossus_microlepis",3.17506754898889,3.13905630487421,3.21107879310358,0.987,9.55744120460126,1.28646122009478e-19,"Positive allometric"
"Gymnostomus_lobatus",2.95709620666851,2.93185794328254,2.98233447005447,0.921,-3.33272888161579,0.000866863413150046,"Negative allometric"
"Gymnostomus_siamensis",3.08950552982189,3.07212486283049,3.10688619681329,0.969,10.0963963849354,1.11761117637708e-23,"Positive allometric"
"Labeo_chrysophekadion",3.01198840977747,2.99205586513826,3.03192095441668,0.992,1.1809080495083,0.238049713174287,"Isometric"
"Labiobarbus_leptocheilus",3.01013300877808,2.98500652189101,3.03525949566515,0.919,0.790609938753639,0.429209993367573,"Isometric"
"Osteochilus_schlegelii",3.06965745610808,3.01413777412268,3.12517713809349,0.981,2.47212275397644,0.0141595644681128,"Positive allometric"
"Pangasius_conchophilus",3.21158376901605,3.07732774620594,3.34583979182617,0.91,3.10585723302664,0.00214573559313589,"Positive allometric"
"Pangasius_larnaudii",3.00836161854148,2.92446324314523,3.09225999393772,0.927,0.195945252221153,0.844755072004475,"Isometric"
"Pangasius_macronema",3.09739574005002,3.04693706079303,3.14785441930702,0.979,3.7977294145738,0.000175194340137037,"Positive allometric"
"Paralaubuca_typus",3.10583836474702,3.06200277513057,3.14967395436347,0.869,4.73418426536902,2.30461660962893e-06,"Positive allometric"
"Parambassis_wolffii",3.19082185972237,3.12280784102028,3.25883587842446,0.969,5.52350166926044,7.76640416083788e-08,"Positive allometric"
"Phalacronotus_sp.1",3.18937277370972,3.14435372107993,3.23439182633952,0.991,8.30335882636738,2.95860989186349e-14,"Positive allometric"
"Puntioplites_proctozysron",3.14866429154664,3.12745543111978,3.1698731519735,0.977,13.7468263770305,3.83856567810579e-41,"Positive allometric"
"Rasbora_aurotaenia",2.69879811158531,2.50744304969697,2.89015317347365,0.844,-3.11122233478677,0.00224700970987989,"Negative allometric"
"Sikukia_stejnegeri",3.0286545596001,2.95868764121384,3.09862147798635,0.881,0.803686888745703,0.421773119412713,"Isometric"
"Syncrossus_helodes",2.92196983873232,2.81134301229359,3.03259666517104,0.957,-1.39630235031066,0.165158851157028,"Isometric"
"Yasuhikotakia_eos",2.82029418552468,2.42565580609631,3.21493256495305,0.65,-0.902619002148653,0.368736863968464,"Isometric"
"Yasuhikotakia_lecontei",2.77493216650483,2.55819963639798,2.99166469661168,0.837,-2.05523912495489,0.0419388686359224,"Negative allometric"
"Yasuhikotakia_modesta",3.18442487716225,3.11736699190564,3.25148276241887,0.899,5.39705251422584,8.50591311086288e-08,"Positive allometric"
